s,d,yaw,pitch,dyaw,dpitch,qdist
0.5590,5423.0,89.859,12.028,0.1713,0.2252,0.2830
0.5600,5458.8,89.711,12.060,0.1480,0.0324,0.1515
0.5610,5494.6,89.583,12.093,0.1279,0.0330,0.1321
0.5620,5530.4,89.470,12.010,0.1131,0.0834,0.1406
0.5630,5566.4,89.362,11.919,0.1073,0.0909,0.1406
0.5640,5602.4,89.249,11.909,0.1131,0.0105,0.1135
0.5650,5638.4,89.119,12.059,0.1306,0.1500,0.1989
0.5660,5674.5,88.961,12.199,0.1575,0.1407,0.2112
0.5670,5710.7,88.771,12.093,0.1904,0.1060,0.2179
0.5680,5746.9,88.546,12.145,0.2249,0.0515,0.2307
0.5690,5783.1,88.286,12.041,0.2599,0.1042,0.2800
0.5700,5819.4,87.990,12.025,0.2959,0.0151,0.2962
0.5710,5855.7,87.654,11.866,0.3366,0.1590,0.3723
0.5720,5892.0,87.268,11.639,0.3855,0.2271,0.4474
0.5730,5928.3,86.823,11.345,0.4453,0.2945,0.5338
0.5740,5964.7,86.309,11.419,0.5138,0.0741,0.5191
0.5750,6001.1,85.722,11.626,0.5868,0.2073,0.6224
0.5760,6037.5,85.064,11.642,0.6586,0.0154,0.6588
0.5770,6073.8,84.341,11.740,0.7223,0.0979,0.7289
0.5780,6110.2,83.568,11.899,0.7731,0.1592,0.7894
0.5790,6146.6,82.759,12.002,0.8093,0.1032,0.8159
0.5800,6183.0,81.927,12.161,0.8321,0.1586,0.8470
0.5810,6219.3,81.081,12.297,0.8454,0.1365,0.8564
0.5820,6255.7,80.226,12.515,0.8551,0.2177,0.8824
0.5830,6292.0,79.360,12.734,0.8665,0.2193,0.8939
0.5840,6328.3,78.476,13.105,0.8836,0.3705,0.9582
0.5850,6364.5,77.569,13.126,0.9075,0.0214,0.9077
0.5860,6400.7,76.631,12.967,0.9373,0.1594,0.9507
0.5870,6436.9,75.661,12.902,0.9705,0.0649,0.9727
0.5880,6473.0,74.656,12.669,1.0048,0.2330,1.0315
0.5890,6509.1,73.618,12.796,1.0377,0.1269,1.0455
0.5900,6545.1,72.550,13.045,1.0682,0.2496,1.0970
0.5910,6581.1,71.455,13.176,1.0956,0.1310,1.1034
0.5920,6617.0,70.335,13.312,1.1196,0.1355,1.1278
0.5930,6652.8,69.195,13.484,1.1398,0.1725,1.1528
0.5940,6688.5,68.039,13.998,1.1557,0.5142,1.2649
0.5950,6724.2,66.874,14.019,1.1657,0.0208,1.1659
0.5960,6759.8,65.706,13.604,1.1681,0.4148,1.2396
0.5970,6795.3,64.544,13.742,1.1613,0.1380,1.1694
0.5980,6830.7,63.399,13.873,1.1449,0.1303,1.1523
0.5990,6866.1,62.280,14.059,1.1190,0.1860,1.1344
0.6000,6901.3,61.195,14.307,1.0850,0.2480,1.1130
0.6010,6936.4,60.151,14.243,1.0448,0.0642,1.0467
0.6020,6971.4,59.150,14.372,1.0005,0.1295,1.0088
0.6030,7006.3,58.196,14.400,0.9538,0.0282,0.9542
0.6040,7041.1,57.291,14.182,0.9052,0.2183,0.9312
0.6050,7075.8,56.437,14.949,0.8543,0.7674,1.1484
0.6060,7110.3,55.637,15.145,0.8003,0.1953,0.8238
0.6070,7144.7,54.895,14.882,0.7420,0.2628,0.7872
0.6080,7178.9,54.215,14.933,0.6791,0.0514,0.6810
0.6090,7213.1,53.603,15.027,0.6122,0.0939,0.6193
0.6100,7247.1,53.060,15.155,0.5437,0.1283,0.5586
0.6110,7280.9,52.582,15.232,0.4774,0.0765,0.4835
